bit_index,mean_abs_shap
232,6.541469154347555e-05
1689,6.504138399130573e-05
288,6.499441609158834e-05
1929,6.487506495666563e-05
1085,6.440531767644818e-05
1994,6.424631210774643e-05
227,6.424392879529977e-05
1957,6.419089018595917e-05
1031,6.395681978700263e-05
1852,6.333555109461278e-05
1157,6.330891061885698e-05
1168,6.319485327167316e-05
472,6.312946622072846e-05
46,6.299360697429974e-05
1257,6.259192672942879e-05
1232,6.223317246223536e-05
937,6.167658310503947e-05
1113,6.158026684466036e-05
557,6.14693531758415e-05
525,6.144617773312872e-05
1861,6.134114859526814e-05
334,6.101656659195348e-05
155,6.0921120500408834e-05
1523,6.0477808472131876e-05
1018,6.045421552731567e-05
1025,6.045413329065958e-05
1678,5.955611102798138e-05
1205,5.939141642733809e-05
1539,5.903279870748765e-05
1328,5.8805795862255225e-05
489,5.871413709279872e-05
248,5.860274570505053e-05
453,5.8137204539795694e-05
1507,5.773734980012929e-05
1731,5.748864587073306e-05
1261,5.7444044974412216e-05
1118,5.72179337861111e-05
1208,5.682214113202811e-05
22,5.662361054206492e-05
1975,5.647483892030491e-05
1735,5.592057980894534e-05
1574,5.570682857953087e-05
39,5.45737295021856e-05
507,5.456806792407479e-05
1213,5.4438145986733095e-05
1135,5.4096211868644324e-05
1862,5.3234198012525185e-05
815,5.2436781076973306e-05
5,5.2240009155740254e-05
122,5.2065341043908856e-05
979,5.206526118733603e-05
621,5.1934110244844965e-05
1954,5.181490563297235e-05
808,5.1162620164803757e-05
1427,5.032955041911671e-05
104,5.0139199001226565e-05
1197,5.012780612674116e-05
54,4.9943894805024326e-05
1941,4.970192981520936e-05
1322,4.9663164457025874e-05
422,4.9620034034140024e-05
1885,4.961193965637538e-05
585,4.944878094310944e-05
192,4.943289379916067e-05
492,4.9382115981199467e-05
253,4.9162919618898225e-05
1538,4.915781224583647e-05
925,4.904781070572053e-05
66,4.897504104845103e-05
363,4.880144057873769e-05
598,4.843467559254958e-05
1782,4.8414390964829536e-05
1369,4.829879834501274e-05
8,4.818090681123421e-05
855,4.81483761246553e-05
1329,4.8066126191263314e-05
25,4.780984174130306e-05
1259,4.771034143589854e-05
1551,4.711157233928899e-05
1024,4.688151711980076e-05
1691,4.666510210601341e-05
1626,4.644114862192895e-05
357,4.6069439680112796e-05
59,4.597871847132454e-05
295,4.5900806948200485e-05
251,4.5881549071429006e-05
1422,4.5401217852612816e-05
747,4.50724476835664e-05
880,4.496618274292586e-05
829,4.48953306052e-05
1220,4.4867007173590026e-05
1734,4.460830969525127e-05
2030,4.4456059181635906e-05
484,4.445055122708703e-05
339,4.439687967700116e-05
1990,4.4287087486641444e-05
1140,4.42695361164856e-05
473,4.420074676616175e-05
1465,4.416767028354627e-05
642,4.415435346616565e-05
1771,4.415161364246681e-05
381,4.414507051700786e-05
286,4.3707067368164405e-05
720,4.340037155992282e-05
1784,4.314180917413797e-05
1828,4.313167894348966e-05
1227,4.289997807594217e-05
603,4.271078163988479e-05
952,4.254526943506592e-05
698,4.254311234577149e-05
1352,4.222141423675672e-05
493,4.2145886736146096e-05
769,4.2102038296166745e-05
1727,4.1616131310222694e-05
1209,4.1542838955861484e-05
1173,4.143240582516913e-05
1832,4.1411183479386165e-05
1762,4.112890919340065e-05
595,4.1084163607220316e-05
687,4.1059463317495705e-05
409,4.077337710944294e-05
1275,4.075930151854032e-05
1011,4.056697538554077e-05
1142,4.0436750221399635e-05
398,4.012116841869504e-05
900,3.990019686444412e-05
42,3.965370878825454e-05
1402,3.964364788548342e-05
160,3.961272008687696e-05
671,3.9610564540090716e-05
2031,3.9542550080050495e-05
1986,3.9433628061692565e-05
915,3.942782542766559e-05
1017,3.934635345340935e-05
1804,3.9019243659642735e-05
412,3.8926057313104966e-05
1951,3.8706312480052594e-05
125,3.866001215322329e-05
1045,3.8604274819704494e-05
600,3.8579358691858636e-05
1792,3.7053907425741094e-05
1514,3.6947709385559426e-05
1632,3.6800920207095486e-05
1903,3.673696636345697e-05
1696,3.666949575072016e-05
1989,3.66421575097705e-05
1276,3.645736845850312e-05
590,3.638149633369644e-05
1556,3.6346228909418954e-05
121,3.617161730196445e-05
238,3.607509038859006e-05
397,3.607148826243856e-05
443,3.586093990168789e-05
309,3.564909998005105e-05
1233,3.540806065736236e-05
215,3.540646564875889e-05
1915,3.5061892803796186e-05
377,3.497867410260474e-05
967,3.494975170250271e-05
719,3.485267394079199e-05
1624,3.4732082908275425e-05
503,3.4662715334166977e-05
666,3.4633251388922705e-05
684,3.4592402720158806e-05
115,3.4391675275968975e-05
1587,3.433444512263726e-05
1520,3.432224841344255e-05
142,3.4223940902961935e-05
1844,3.417923423646186e-05
2034,3.407745570873847e-05
245,3.401481623652125e-05
1543,3.4004068428788774e-05
865,3.380943108381626e-05
1295,3.377493303248e-05
646,3.372782237050899e-05
914,3.3524000388122585e-05
1323,3.3375258278083875e-05
430,3.3193247521767384e-05
508,3.3178333239301686e-05
1386,3.3112274144138e-05
665,3.2873361282862115e-05
828,3.2728118587699674e-05
1105,3.254720158927956e-05
207,3.20197797687451e-05
1500,3.1906794353544215e-05
1667,3.138629099285291e-05
1064,3.10887491157044e-05
1188,3.0808665140579456e-05
1343,3.051472081884947e-05
1837,3.049036174631863e-05
956,3.0120581142419766e-05
1344,2.978098661405747e-05
50,2.973518410036167e-05
893,2.971493378514686e-05
960,2.9702928210682657e-05
223,2.961614073626144e-05
729,2.9372576306409017e-05
1362,2.9336439114794627e-05
955,2.9265826362074406e-05
560,2.9070221961254794e-05
1592,2.903935525064123e-05
918,2.879693539743082e-05
1415,2.876203017703896e-05
858,2.871115509732374e-05
1494,2.8418661495726415e-05
1182,2.8359968266603056e-05
766,2.81046540671935e-05
730,2.8087412021018368e-05
1922,2.8039123313562293e-05
750,2.795827114405779e-05
172,2.7683774344432226e-05
1648,2.7659163595062075e-05
1512,2.7437866352342366e-05
1287,2.7342043059685554e-05
1594,2.727480908774164e-05
1905,2.7222110997957687e-05
2032,2.718263952623052e-05
799,2.7062076774101378e-05
772,2.7055337645938363e-05
1264,2.6966200882066006e-05
219,2.6561177545735575e-05
1682,2.6411006063447252e-05
546,2.6410589588285196e-05
512,2.6395957517079725e-05
1616,2.62850347950879e-05
426,2.6276552444432784e-05
943,2.6266924311190113e-05
1596,2.617747362195974e-05
1565,2.6079591577843876e-05
1153,2.5931234243611514e-05
1847,2.5926808474792283e-05
1769,2.5785621288382704e-05
1884,2.560509598605224e-05
1005,2.5583959912323557e-05
280,2.5553559225121686e-05
754,2.5500577367406224e-05
1062,2.52291645256754e-05
1014,2.5216424838171174e-05
1242,2.4935848671868493e-05
1375,2.4773071207021516e-05
1149,2.468472431452162e-05
1126,2.468018627887281e-05
